2023-12-14 13:41:10 | ERROR | model_worker | heart beat error: HTTPConnectionPool(host='192.168.2.144', port=20001): Max retries exceeded with url: /receive_heart_beat (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7fab76cef190>: Failed to establish a new connection: [Errno 101] Network is unreachable'))
2023-12-14 13:41:15 | ERROR | model_worker | heart beat error: HTTPConnectionPool(host='192.168.2.144', port=20001): Max retries exceeded with url: /receive_heart_beat (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7fab76c9fee0>: Failed to establish a new connection: [Errno 101] Network is unreachable'))
2023-12-14 13:41:20 | ERROR | model_worker | heart beat error: HTTPConnectionPool(host='192.168.2.144', port=20001): Max retries exceeded with url: /receive_heart_beat (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7fab76cedd50>: Failed to establish a new connection: [Errno 101] Network is unreachable'))
2023-12-14 13:41:25 | ERROR | model_worker | heart beat error: HTTPConnectionPool(host='192.168.2.144', port=20001): Max retries exceeded with url: /receive_heart_beat (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7fab76cecfd0>: Failed to establish a new connection: [Errno 101] Network is unreachable'))
2023-12-14 13:41:30 | ERROR | model_worker | heart beat error: HTTPConnectionPool(host='192.168.2.144', port=20001): Max retries exceeded with url: /receive_heart_beat (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7fab76cee260>: Failed to establish a new connection: [Errno 101] Network is unreachable'))
2023-12-14 13:41:35 | ERROR | model_worker | heart beat error: HTTPConnectionPool(host='192.168.2.144', port=20001): Max retries exceeded with url: /receive_heart_beat (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7fab76cee0e0>: Failed to establish a new connection: [Errno 101] Network is unreachable'))
2023-12-14 13:41:40 | ERROR | model_worker | heart beat error: HTTPConnectionPool(host='192.168.2.144', port=20001): Max retries exceeded with url: /receive_heart_beat (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7fab76cefb80>: Failed to establish a new connection: [Errno 101] Network is unreachable'))
2023-12-14 13:41:45 | ERROR | model_worker | heart beat error: HTTPConnectionPool(host='192.168.2.144', port=20001): Max retries exceeded with url: /receive_heart_beat (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7fab76cee770>: Failed to establish a new connection: [Errno 101] Network is unreachable'))
2023-12-14 13:41:50 | ERROR | model_worker | heart beat error: HTTPConnectionPool(host='192.168.2.144', port=20001): Max retries exceeded with url: /receive_heart_beat (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7fab76cee290>: Failed to establish a new connection: [Errno 101] Network is unreachable'))
2023-12-14 13:41:55 | ERROR | model_worker | heart beat error: HTTPConnectionPool(host='192.168.2.144', port=20001): Max retries exceeded with url: /receive_heart_beat (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7fab76cec8b0>: Failed to establish a new connection: [Errno 101] Network is unreachable'))
2023-12-14 13:42:00 | ERROR | model_worker | heart beat error: HTTPConnectionPool(host='192.168.2.144', port=20001): Max retries exceeded with url: /receive_heart_beat (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7fab76ced450>: Failed to establish a new connection: [Errno 101] Network is unreachable'))
2023-12-14 13:42:05 | ERROR | model_worker | heart beat error: HTTPConnectionPool(host='192.168.2.144', port=20001): Max retries exceeded with url: /receive_heart_beat (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7fab76ced2a0>: Failed to establish a new connection: [Errno 101] Network is unreachable'))
2023-12-14 13:42:10 | ERROR | model_worker | heart beat error: HTTPConnectionPool(host='192.168.2.144', port=20001): Max retries exceeded with url: /receive_heart_beat (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7fab76cef460>: Failed to establish a new connection: [Errno 101] Network is unreachable'))
2023-12-14 13:42:15 | ERROR | model_worker | heart beat error: HTTPConnectionPool(host='192.168.2.144', port=20001): Max retries exceeded with url: /receive_heart_beat (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7fab76cef4c0>: Failed to establish a new connection: [Errno 101] Network is unreachable'))
2023-12-14 13:42:20 | ERROR | model_worker | heart beat error: HTTPConnectionPool(host='192.168.2.144', port=20001): Max retries exceeded with url: /receive_heart_beat (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7fab76ced7b0>: Failed to establish a new connection: [Errno 101] Network is unreachable'))
2023-12-14 13:42:25 | ERROR | model_worker | heart beat error: HTTPConnectionPool(host='192.168.2.144', port=20001): Max retries exceeded with url: /receive_heart_beat (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7fab76cec250>: Failed to establish a new connection: [Errno 101] Network is unreachable'))
2023-12-14 13:42:30 | ERROR | model_worker | heart beat error: HTTPConnectionPool(host='192.168.2.144', port=20001): Max retries exceeded with url: /receive_heart_beat (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7fab76cee080>: Failed to establish a new connection: [Errno 101] Network is unreachable'))
2023-12-14 13:42:35 | ERROR | model_worker | heart beat error: HTTPConnectionPool(host='192.168.2.144', port=20001): Max retries exceeded with url: /receive_heart_beat (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7fab76cefc10>: Failed to establish a new connection: [Errno 101] Network is unreachable'))
2023-12-14 13:42:40 | ERROR | model_worker | heart beat error: HTTPConnectionPool(host='192.168.2.144', port=20001): Max retries exceeded with url: /receive_heart_beat (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7fab76c9ff40>: Failed to establish a new connection: [Errno 101] Network is unreachable'))
2023-12-14 13:42:45 | ERROR | model_worker | heart beat error: HTTPConnectionPool(host='192.168.2.144', port=20001): Max retries exceeded with url: /receive_heart_beat (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7fab76cef2b0>: Failed to establish a new connection: [Errno 101] Network is unreachable'))
2023-12-14 13:42:50 | ERROR | model_worker | heart beat error: HTTPConnectionPool(host='192.168.2.144', port=20001): Max retries exceeded with url: /receive_heart_beat (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7fab76cec760>: Failed to establish a new connection: [Errno 101] Network is unreachable'))
2023-12-14 13:42:55 | ERROR | model_worker | heart beat error: HTTPConnectionPool(host='192.168.2.144', port=20001): Max retries exceeded with url: /receive_heart_beat (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7fab76cec8e0>: Failed to establish a new connection: [Errno 101] Network is unreachable'))
2023-12-14 13:43:00 | ERROR | model_worker | heart beat error: HTTPConnectionPool(host='192.168.2.144', port=20001): Max retries exceeded with url: /receive_heart_beat (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7fab76cef340>: Failed to establish a new connection: [Errno 101] Network is unreachable'))
2023-12-14 13:43:05 | ERROR | model_worker | heart beat error: HTTPConnectionPool(host='192.168.2.144', port=20001): Max retries exceeded with url: /receive_heart_beat (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7fab76ced120>: Failed to establish a new connection: [Errno 101] Network is unreachable'))
2023-12-14 13:43:10 | ERROR | model_worker | heart beat error: HTTPConnectionPool(host='192.168.2.144', port=20001): Max retries exceeded with url: /receive_heart_beat (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7fab76ced090>: Failed to establish a new connection: [Errno 101] Network is unreachable'))
2023-12-14 13:43:15 | ERROR | model_worker | heart beat error: HTTPConnectionPool(host='192.168.2.144', port=20001): Max retries exceeded with url: /receive_heart_beat (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7fab76cecd90>: Failed to establish a new connection: [Errno 101] Network is unreachable'))
2023-12-14 13:43:20 | ERROR | model_worker | heart beat error: HTTPConnectionPool(host='192.168.2.144', port=20001): Max retries exceeded with url: /receive_heart_beat (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7fab76cec850>: Failed to establish a new connection: [Errno 101] Network is unreachable'))
2023-12-14 13:43:25 | ERROR | model_worker | heart beat error: HTTPConnectionPool(host='192.168.2.144', port=20001): Max retries exceeded with url: /receive_heart_beat (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7fab76cec490>: Failed to establish a new connection: [Errno 101] Network is unreachable'))
2023-12-14 13:43:30 | ERROR | model_worker | heart beat error: HTTPConnectionPool(host='192.168.2.144', port=20001): Max retries exceeded with url: /receive_heart_beat (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7fab76cec880>: Failed to establish a new connection: [Errno 101] Network is unreachable'))
2023-12-14 13:43:35 | ERROR | model_worker | heart beat error: HTTPConnectionPool(host='192.168.2.144', port=20001): Max retries exceeded with url: /receive_heart_beat (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7fab76ceffd0>: Failed to establish a new connection: [Errno 101] Network is unreachable'))
2023-12-14 13:43:40 | ERROR | model_worker | heart beat error: HTTPConnectionPool(host='192.168.2.144', port=20001): Max retries exceeded with url: /receive_heart_beat (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7fab76cee3e0>: Failed to establish a new connection: [Errno 101] Network is unreachable'))
